run,learning_rate,gamma,entropy_coef,value_fn_coef,n_steps,mean_reward,std_reward,total_timesteps
reinforce_run_1_low_lr,0.001,0.99,0.01,0.5,1,-0.05060590336652164,2.9536298213170924,50000
reinforce_run_2_high_lr,0.005,0.95,0.05,0.5,1,-0.5837370157241821,1.5865180492401123,50000
reinforce_run_3_medium,0.003,0.97,0.01,1.0,1,-2.1017413546890014,1.3170315002032822,50000
reinforce_run_4_high_entropy,0.001,0.99,0.05,0.5,1,-1.727486674785613,1.647462851487245,50000
reinforce_run_5_low_gamma,0.005,0.9,0.01,0.5,1,-1.3565008640289307,0.8542143106460571,50000
reinforce_run_6_high_vf,0.002,0.98,0.02,2.0,1,-1.3286422491073608,1.9086850881576538,50000
reinforce_run_7_balanced,0.001,0.96,0.01,0.5,1,-1.151258261814713,1.6170307334356044,50000
reinforce_run_8_exploration,0.008,0.94,0.03,0.5,1,-2.7620121796037993,0.5986905840423263,50000
reinforce_run_9_low_lr_stable,0.0005,0.99,0.01,1.0,1,2.849588074244675,3.6294760394192904,50000
reinforce_run_10_tuned,0.003,0.97,0.02,1.0,1,-2.3938698768615723,1.568023443222046,50000
